"Linear Displacement"
"Time (sec)","Linear Displacement1 (meter)"
0,-1.42025390184268
0.00416666666666667,-1.42900217361162
0.00833333333333333,-1.43778239570132
0.0125,-1.44657729966916
0.0166666666666667,-1.45536922433004
0.0208333333333333,-1.46414015691968
0.025,-1.47287177783676
0.0291666666666667,-1.4815455087725
0.0333333333333333,-1.49014256400293
0.0375,-1.49864400458788
0.0416666666666667,-1.50703079519245
0.0458333333333333,-1.51528386322197
0.05,-1.52338415994072
0.0541666666666667,-1.53131272322649
0.0583333333333333,-1.53905074160018
0.0625,-1.54657961915965
0.0666666666666667,-1.55388104104119
0.0708333333333333,-1.56093703902984
0.075,-1.56773005694109
0.0791666666666667,-1.57424301540088
0.0833333333333333,-1.58045937565849
0.0875,-1.58636320207685
0.0916666666666667,-1.59193922295724
0.0958333333333333,-1.59717288936996
0.1,-1.60205043167829
0.104166666666667,-1.60655891346064
0.108333333333333,-1.61068628255416
0.1125,-1.61442141896222
0.116666666666667,-1.6177541793878
0.120833333333333,-1.62067543817484
0.125,-1.62317712445979
0.129166666666667,-1.62525225535549
0.133333333333333,-1.62689496500964
0.1375,-1.62810052940002
0.141666666666667,-1.62886538674787
0.145833333333333,-1.62918715345083
0.15,-1.62906463545549
0.154166666666667,-1.62849783500906
0.158333333333333,-1.62748795274873
0.1625,-1.62603738510621
0.166666666666667,-1.6241497170243
0.170833333333333,-1.62182971000157
0.175,-1.61908328550133
0.179166666666667,-1.61591750378064
0.183333333333333,-1.61234053821623
0.1875,-1.60836164522494
0.191666666666667,-1.60399112989808
0.195833333333334,-1.59924030749125
0.2,-1.594121460934
0.204166666666667,-1.58864779454638
0.208333333333334,-1.58283338417378
0.2125,-1.57669312397404
0.216666666666667,-1.57024267011523
0.220833333333334,-1.56349838166532
0.225,-1.55647725897796
0.229166666666667,-1.5491968799001
0.233333333333334,-1.54167533414809
0.2375,-1.53393115621718
0.241666666666667,-1.5259832572065
0.245833333333334,-1.51785085595537
0.25,-1.50955340989825
0.254166666666667,-1.50111054605294
0.258333333333334,-1.492541992561
0.2625,-1.48386751119881
0.266666666666667,-1.47510683127342
0.270833333333334,-1.46627958530758
0.275,-1.45740524690497
0.279166666666667,-1.44850307116736
0.283333333333334,-1.43959203801238
0.2875,-1.4306907987123
0.291666666666667,-1.4218176259426
0.295833333333334,-1.41299036759268
0.3,-1.40422640455249
