"Linear Acceleration"
"Time (sec)","Linear Acceleration2 (meter/sec**2)"
0,-2.76830194655148
0.00416666666666667,-2.16625322514754
0.00833333333333333,-1.30156585361726
0.0125,-0.436475665220015
0.0166666666666667,1.15278019534736
0.0208333333333333,2.30950553301773
0.025,3.5942659394065
0.0291666666666667,4.38845264520168
0.0333333333333333,5.45592262586229
0.0375,6.73377218087722
0.0416666666666667,7.73543308995769
0.0458333333333333,8.85232888109534
0.05,9.94458004107136
0.0541666666666667,11.0279764493644
0.0583333333333333,12.0987739756809
0.0625,13.1531992157044
0.0666666666666667,14.1874713045618
0.0708333333333333,15.1978236631746
0.075,16.1805254820001
0.0791666666666667,17.1319027431678
0.0833333333333333,18.0483586739519
0.0875,18.9263934554538
0.0916666666666667,19.762623124957
0.0958333333333333,20.5537974987121
0.1,21.2968171587011
0.104166666666667,21.9887493052606
0.108333333333333,22.6268425585255
0.1125,23.208540595335
0.116666666666667,23.7314946464384
0.120833333333333,24.1935748361524
0.125,24.5928803613636
0.129166666666667,24.9277485254065
0.133333333333333,25.1967626264771
0.1375,25.3987587211297
0.141666666666667,25.5328312840507
0.145833333333333,25.5983377010973
0.15,25.5949017948831
0.154166666666667,25.522416062517
0.158333333333333,25.3810430066715
0.1625,25.1712152238195
0.166666666666667,24.8936344411877
0.170833333333333,24.5492693928104
0.175,24.1393525439451
0.179166666666667,23.6653756299496
0.183333333333333,23.1290839631931
0.1875,22.5324695148607
0.191666666666667,21.8777626954874
0.195833333333334,21.1674228422942
0.2,20.4041273275333
0.204166666666667,19.5907594488036
0.208333333333334,18.7303946672815
0.2125,17.8262859075306
0.216666666666667,16.8818470634019
0.220833333333334,15.9006355579514
0.225,14.8863334180885
0.229166666666667,13.8427272864819
0.233333333333334,12.7736873045911
0.2375,11.68314505295
0.241666666666667,10.5750706838088
0.245833333333334,9.45344941303195
0.25,8.32225758397755
0.254166666666667,7.18543850115032
0.258333333333334,6.04687831871206
0.2625,4.91038214812745
0.266666666666667,3.77965079658775
0.270833333333334,2.65825824177435
0.275,1.54963026498154
0.279166666666667,0.457024416761648
0.283333333333334,-0.616488377970847
0.2875,-1.66804036122506
0.291666666666667,-2.69498138845663
0.295833333333334,-3.69489112414031
0.3,-4.66558880454978
0.304166666666667,-5.60514047968073
0.308333333333333,-6.51186364969402
0.3125,-7.38432927486238
0.316666666666667,-8.22136117674235
0.320833333333333,-9.02203289669055
0.325,-9.7856621012411
0.329166666666667,-10.5118027044016
0.333333333333333,-11.2002348469899
0.3375,-11.8509529812083
0.341666666666667,-12.4641522459041
0.345833333333333,-13.0402134254118
0.35,-13.5796867069496
0.354166666666667,-14.0832745340943
0.358333333333333,-14.5518137965802
0.3625,-14.9862576175885
0.366666666666667,-15.3876569859721
0.370833333333333,-15.7571424502435
0.375,-16.0959060797623
0.379166666666667,-16.4051839145033
0.383333333333333,-16.6862389705733
0.3875,-16.9403450854291
0.391666666666666,-17.1687715458135
0.395833333333333,-17.3727687329504
0.4,-17.553554749063
0.404166666666666,-17.7123031252887
0.408333333333333,-17.8501316096923
0.4125,-17.9680920555421
0.416666666666666,-18.0671614030727
0.420833333333333,-18.1482337069565
0.425,-18.2121133376837
0.429166666666666,-18.2595089170312
0.433333333333333,-18.2910286887146
0.4375,-18.3071763292392
0.441666666666666,-18.308348128581
0.445833333333333,-18.2948307337206
0.45,-18.266799930818
0.454166666666666,-18.2243201884309
0.458333333333333,-18.1673450218026
0.4625,-18.0957181784953
0.466666666666666,-18.009175602613
0.470833333333333,-17.9073482029802
0.475,-17.7897654267484
0.479166666666666,-17.6558596326822
0.483333333333333,-17.504971294995
0.487499999999999,-17.3363550710827
0.491666666666666,-17.1491866247574
0.495833333333333,-16.9425705154596
0.499999999999999,-16.7155487098683
0.504166666666666,-16.4671102142591
0.508333333333333,-16.1962014343678
0.512499999999999,-15.901737484266
0.516666666666666,-15.5826143150055
0.520833333333333,-15.2377216664296
0.524999999999999,-14.8659567744174
0.529166666666666,-14.4662387718777
0.533333333333333,-14.0375236921105
0.537499999999999,-13.5788199760069
0.541666666666666,-13.0892043357181
0.545833333333333,-12.5678378875234
0.549999999999999,-12.0139822863628
0.554166666666666,-11.4270158407831
0.558333333333333,-10.8064492423329
0.562499999999999,-10.1519408602769
0.566666666666666,-9.46331129273998
0.570833333333333,-8.74055700929351
0.574999999999999,-7.98386286342195
0.579166666666666,-7.19361326393183
0.583333333333332,-6.37040182102012
0.587499999999999,-5.51503927669135
0.591666666666666,-4.62855957611207
0.595833333333332,-3.71222392008241
0.599999999999999,-2.76752272512809
0.604166666666666,-1.79617537845547
0.608333333333332,-0.800127777853312
0.612499999999999,0.218452382246125
0.616666666666666,1.25718252037264
0.620833333333332,2.31347425087533
0.624999999999999,3.38454450591866
0.629166666666666,4.46742860928417
0.633333333333332,5.55899512614578
0.637499999999999,6.655962327064
0.641666666666666,7.75491606777989
0.645833333333332,8.85232887693421
0.649999999999999,9.9445800437632
0.654166666666666,11.0279764485465
0.658333333333332,12.0987739752809
0.662499999999999,13.1531992166746
0.666666666666666,14.1874713036886
0.670833333333332,15.1978236635692
0.674999999999999,16.1805254819095
0.679166666666665,17.1319027434715
0.683333333333332,18.0483586734166
0.687499999999999,18.9263934557694
0.691666666666665,19.7626231249967
0.695833333333332,20.5537974983929
0.699999999999999,21.2968171593188
0.704166666666665,21.9887493044054
0.708333333333332,22.6268425593118
0.712499999999999,23.2085405950373
0.716666666666665,23.73149464607
0.720833333333332,24.1935748368933
0.724999999999999,24.5928803606699
