"Linear Displacement"
"Time (sec)","Linear Displacement1 (meter)"
0,-1.42065628921392
0.00416666666666667,-1.42940640772202
0.00833333333333333,-1.43818768958823
0.0125,-1.44698284741064
0.0166666666666667,-1.4557742028616
0.0208333333333333,-1.46454372801975
0.025,-1.47327309027276
0.0291666666666667,-1.48194370059795
0.0333333333333333,-1.49053676499442
0.0375,-1.49903333880939
0.0416666666666667,-1.50741438367329
0.0458333333333333,-1.51566082673366
0.05,-1.52375362185692
0.0541666666666667,-1.53167381244986
0.0583333333333333,-1.5394025955391
0.0625,-1.54692138673755
0.0666666666666667,-1.55421188572109
0.0708333333333333,-1.56125614183668
0.075,-1.56803661946439
0.0791666666666667,-1.57453626276084
0.0833333333333333,-1.58073855941882
0.0875,-1.58662760308824
0.0916666666666667,-1.59218815411602
0.0958333333333333,-1.59740569827716
0.1,-1.60226650318506
0.104166666666667,-1.60675767208694
0.108333333333333,-1.61086719476839
0.1125,-1.61458399531029
0.116666666666667,-1.61789797646129
0.120833333333333,-1.62080006040864
0.125,-1.62328222575055
0.129166666666667,-1.62533754049315
0.133333333333333,-1.62696019091538
0.1375,-1.62814550616453
0.141666666666667,-1.62888997846517
0.145833333333333,-1.6291912788434
0.15,-1.62904826828755
0.154166666666667,-1.62846100428564
0.158333333333333,-1.62743074269917
0.1625,-1.62595993495137
0.166666666666667,-1.62405222052787
0.170833333333333,-1.62171241480679
0.175,-1.61894649225508
0.179166666666667,-1.61576156504811
0.183333333333333,-1.61216585719019
0.1875,-1.60816867423454
0.191666666666667,-1.60378036872337
0.195833333333334,-1.59901230149034
0.2,-1.59387679899107
0.204166666666667,-1.58838710684976
0.208333333333334,-1.58255733983431
0.2125,-1.57640242849516
0.216666666666667,-1.56993806272723
0.220833333333334,-1.56318063253735
0.225,-1.55614716632216
0.229166666666667,-1.54885526698369
0.233333333333334,-1.54132304622953
0.2375,-1.53356905742389
0.241666666666667,-1.52561222737199
0.245833333333334,-1.51747178743442
0.25,-1.50916720437902
0.254166666666667,-1.50071811138532
0.258333333333334,-1.49214423962054
0.2625,-1.48346535080547
0.266666666666667,-1.47470117118394
0.270833333333334,-1.46587132729996
0.275,-1.45699528397254
0.279166666666667,-1.44809228483915
0.283333333333334,-1.43918129581513
0.2875,-1.4302809517883
0.291666666666667,-1.42140950683557
0.295833333333334,-1.41258478821271
0.3,-1.40382415432866
0.304166666666667,-1.39514445687421
0.308333333333333,-1.38656200723111
0.3125,-1.3780925472422
0.316666666666667,-1.36975122437808
0.320833333333333,-1.36155257129031
0.325,-1.35351048969705
0.329166666666667,-1.34563823850481
0.333333333333333,-1.3379484260298
0.3375,-1.33045300614581
0.341666666666667,-1.32316327815205
0.345833333333333,-1.31608989012524
0.35,-1.30924284549504
0.354166666666667,-1.30263151256151
0.358333333333333,-1.29626463665724
0.3625,-1.29015035464523
0.366666666666667,-1.28429621143671
0.370833333333333,-1.2787091782102
0.375,-1.27339567201401
0.379166666666667,-1.26836157643948
0.383333333333333,-1.26361226305958
0.3875,-1.25915261333888
0.391666666666666,-1.25498704073317
0.395833333333333,-1.25111951271279
0.4,-1.24755357245972
0.404166666666666,-1.24429236000637
0.408333333333333,-1.24133863260245
0.4125,-1.23869478411522
0.416666666666666,-1.23636286328724
0.420833333333333,-1.23434459069502
0.425,-1.23264137427059
0.429166666666666,-1.23125432326582
0.433333333333333,-1.23018426055789
0.4375,-1.22943173321068
0.441666666666666,-1.22899702122382
0.445833333333333,-1.22888014441703
0.45,-1.22908086741263
0.454166666666666,-1.22959870269406
0.458333333333333,-1.2304329117328
0.4625,-1.23158250419015
0.466666666666666,-1.23304623521429
0.470833333333333,-1.23482260086688
0.475,-1.23690983172735
0.479166666666666,-1.23930588473687
0.483333333333333,-1.24200843335802
0.487499999999999,-1.24501485614082
0.491666666666666,-1.24832222379958
0.495833333333333,-1.25192728492088
0.499999999999999,-1.25582645043715
0.504166666666666,-1.260015777016
0.508333333333333,-1.26449094953078
0.512499999999999,-1.26924726279311
0.516666666666666,-1.27427960274302
0.520833333333333,-1.27958242730751
0.524999999999999,-1.28514974715192
0.529166666666666,-1.29097510656202
0.533333333333333,-1.2970515647064
0.537499999999999,-1.30337167753949
0.541666666666666,-1.30992748061394
0.545833333333333,-1.31671047307759
0.549999999999999,-1.32371160313438
0.554166666666666,-1.33092125524942
0.558333333333333,-1.33832923937701
0.562499999999999,-1.34592478248481
0.566666666666666,-1.35369652263888
0.570833333333333,-1.36163250590219
0.574999999999999,-1.36972018628289
0.579166666666666,-1.3779464289494
0.583333333333332,-1.38629751690607
0.587499999999999,-1.39475916129665
0.591666666666666,-1.40331651547321
0.595833333333332,-1.41195419293589
0.599999999999999,-1.42065628921392
0.604166666666666,-1.42940640772202
0.608333333333332,-1.43818768958823
0.612499999999999,-1.44698284741064
0.616666666666666,-1.45577420286159
0.620833333333332,-1.46454372801975
0.624999999999999,-1.47327309027276
0.629166666666666,-1.48194370059794
0.633333333333332,-1.49053676499441
0.637499999999999,-1.49903333880939
0.641666666666666,-1.50741438367329
0.645833333333332,-1.51566082673365
0.649999999999999,-1.52375362185692
0.654166666666666,-1.53167381244986
0.658333333333332,-1.5394025955391
0.662499999999999,-1.54692138673755
0.666666666666666,-1.55421188572109
0.670833333333332,-1.56125614183668
0.674999999999999,-1.56803661946439
0.679166666666665,-1.57453626276084
0.683333333333332,-1.58073855941882
0.687499999999999,-1.58662760308823
0.691666666666665,-1.59218815411602
0.695833333333332,-1.59740569827715
0.699999999999999,-1.60226650318505
0.704166666666665,-1.60675767208694
